Title,Link,Price,Rating,Number of Reviews
"Certified Refurbished Echo Dot (3rd Gen), Black – Smart speaker with Alexa
6,197
₹2,999.00",https://www.amazon.in/All-new-Echo-Dot-3rd-Gen/dp/B07PDHTHNN/ref=zg_bs_g_amazon-renewed_sccl_1/259-0868705-0390501?psc=1,"₹2,999.00",,"6,197"
"Certified Refurbished Fire TV Stick Lite with Alexa Voice Remote Lite | Stream HD Quality Video | No power and volume buttons
630
₹1,299.00",https://www.amazon.in/Staging-Product-Not-Retail-Sale/dp/B085PP15RT/ref=zg_bs_g_amazon-renewed_sccl_2/259-0868705-0390501?psc=1,"₹1,299.00",,630
"(Refurbished) Lenovo Thinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|8 Gb Ddr4 Ram|512 Gb Ssd|Wifi|Windows 11|Ms Office)Black
560
₹11,399.00",https://www.amazon.in/Renewed-Lenovo-ThinkCentre-Desktop-Windows/dp/B0BFWRLJSR/ref=zg_bs_g_amazon-renewed_sccl_3/259-0868705-0390501?psc=1,"₹11,399.00",,560
"(Refurbished) ASUS Chromebox 3 High Performance Mini PC (Intel Core i7 8th gen, 16 GB DDR4 RAM, 512 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB Type-C,HDMI,4K), Black
711
₹17,999.00",https://www.amazon.in/Renewed-ASUS-Chromebox-Performance-Graphics/dp/B0B6WJRLFD/ref=zg_bs_g_amazon-renewed_sccl_4/259-0868705-0390501?psc=1,"₹17,999.00",,711
"(Refurbished) Nothing Phone (1) (Black, 256 GB) (8 GB RAM)
262
₹27,499.00",https://www.amazon.in/Renewed-Nothing-Phone-Black-256/dp/B0BF5BVPKL/ref=zg_bs_g_amazon-renewed_sccl_5/259-0868705-0390501?psc=1,"₹27,499.00",,262
"(Refurbished) Samsung Galaxy S20 FE (Cloud Navy, 8GB RAM, 128GB Storage)
449
₹21,000.00",https://www.amazon.in/Renewed-Samsung-Galaxy-Cloud-Storage/dp/B094W56F6B/ref=zg_bs_g_amazon-renewed_sccl_6/259-0868705-0390501?psc=1,"₹21,000.00",,449
"(Refurbished) Dell Optiplex Business Class Performance Desktop (Core I5 3470 3.2 Ghz, 8 GB RAM, 500 GB HDD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black
550
₹9,344.00",https://www.amazon.in/Dell-Optiplex-Business-Performance-Graphics/dp/B097ZMH24V/ref=zg_bs_g_amazon-renewed_sccl_7/259-0868705-0390501?psc=1,"₹9,344.00",,550
"Certified Refurbished Fire TV Stick (2020) with Alexa Voice Remote (includes TV controls) | Stream HD Quality Video with Dolby Atmos Audio | 2020 release
151
₹1,499.00",https://www.amazon.in/Staging-Product-Not-Retail-Sale/dp/B085PQCLC4/ref=zg_bs_g_amazon-renewed_sccl_8/259-0868705-0390501?psc=1,"₹1,499.00",,151
"(Refurbished) Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)
278
₹21,000.00",https://www.amazon.in/Renewed-Samsung-Galaxy-Cloud-Storage/dp/B094P189P4/ref=zg_bs_g_amazon-renewed_sccl_9/259-0868705-0390501?psc=1,"₹21,000.00",,278
"(Refurbished) LenovoThinkcentre Desktop Mini Pc (Intel Core I5 6Th Gen|16 Gb Ddr4 Ram|256 Gb Ssd|Wifi|Windows 11|Ms Office)Black
235
₹11,479.00",https://www.amazon.in/Renewed-Lenovo-ThinkCentre-Desktop-Windows/dp/B0BFWLR6M8/ref=zg_bs_g_amazon-renewed_sccl_11/259-0868705-0390501?psc=1,"₹11,479.00",,235
"Lenovo (Renewed) Thinkcentre M700 Desktop Mini Pc (Intel Core I3 6Th Gen,8 Gb Ddr4 Ram,256 Gb Ssd,Wifi,Windows 11,Ms Office,Intel Hd Graphics,Usb,Dp)Black
253
₹9,039.00",https://www.amazon.in/Renewed-Lenovo-ThinkCentre-Desktop-Graphics/dp/B0BM3JPTR1/ref=zg_bs_g_amazon-renewed_sccl_12/259-0868705-0390501?psc=1,"₹9,039.00",,253
"(Refurbished) Dell Optiplex 7040 Mini PC (Intel Core i5 6th gen, 16 GB DDR4 RAM, 512 GB SSD, Windows 11, WiFi, MS Office|Intel HD Graphics|USB, Ethernet,DP), Black
114
₹14,249.00",https://www.amazon.in/Renewed-Dell-Optiplex-Graphics-Ethernet/dp/B09VBC3WP1/ref=zg_bs_g_amazon-renewed_sccl_13/259-0868705-0390501?psc=1,"₹14,249.00",,114
"(Refurbished) Lenovo ThinkCentre M93P Mini PC (Intel Core i5 4th gen, 8 GB RAM, 256 GB SSD, Windows 10 Pro, MS Office|Intel HD Graphics|USB, Ethernet,VGA|PAN India Warranty), Black
160
₹8,999.00",https://www.amazon.in/Lenovo-ThinkCentre-Graphics-Ethernet-Warranty/dp/B0BC3ZHF3M/ref=zg_bs_g_amazon-renewed_sccl_14/259-0868705-0390501?psc=1,"₹8,999.00",,160
"(Refurbished) HP ChromeBook 11.6 inches HD Laptop (AMD A4/4GB DDR4 RAM/16GB eMMC SSD/Wifi/Webcam/Chrome OS/Bluetooth 4.2/AMD R4 Graphics/Thin and Light), 1.3Kg
68
₹9,999.00",https://www.amazon.in/Renewed-HP-ChromeBook-Bluetooth-Graphics/dp/B09JZBH4R1/ref=zg_bs_g_amazon-renewed_sccl_15/259-0868705-0390501?psc=1,"₹9,999.00",,68
"(Refurbished) JBL Wave 200 True Wireless In ear Earbuds with Mic, 20 Hours Playtime, Deep Bass Sound, Dual Connect Technology, Quick Charge, Comfort Fit Ergonomic Design, Voice Asst Support (Black)
210
₹1,889.00",https://www.amazon.in/JBL-Wireless-Technology-Ergonomic-Assistant/dp/B09ZTMGH6G/ref=zg_bs_g_amazon-renewed_sccl_16/259-0868705-0390501?psc=1,"₹1,889.00",,210
"(Refurbished) Infinity (JBL) Fuze Pint 15 Watt Wireless Bluetooth Portable Speaker (Charcoal Black)
1,448
₹621.00",https://www.amazon.in/Infinity-Fuze-Portable-Wireless-Charcoal/dp/B07XBCL9FZ/ref=zg_bs_g_amazon-renewed_sccl_17/259-0868705-0390501?psc=1,₹621.00,,"1,448"
"(Refurbished) HP w300 1080p/30 Fps FHD Webcam, Built-in Dual Digital Mic, Plug and Play, Wide-Angle View for Video Calling, Skype, Zoom, Microsoft Teams
24
₹1,013.00",https://www.amazon.in/Renewed-HP-Digital-Wide-Angle-Microsoft/dp/B096SG9TVB/ref=zg_bs_g_amazon-renewed_sccl_19/259-0868705-0390501?psc=1,"₹1,013.00",,24
"(Refurbished) DELL Latitude 5490 Core i5 8th Gen Laptop, 16 GB RAM, 512GB SSD, Intel HD Graphics, 14 inch (36.83 cms) HD Screen, Windows 11 (Upgraded), MS Office, Black, Slim
431
₹27,679.00",https://www.amazon.in/Renewed-Latitude-Graphics-Windows-Upgraded/dp/B0BD4BN7B6/ref=zg_bs_g_amazon-renewed_sccl_20/259-0868705-0390501?psc=1,"₹27,679.00",,431
